Comment,Comment_Lower,Tokens,No_Punctuation,No_Stopwords,Stemmed,Lemmatized,Translated,Emoji_Text
"Awesome 👏. I have a question. Can I create a flow using power automate to check my emails for data requests sent to teams, extract, and list them in an excel sheet. The idea is to create a tracker sheet to track requests, dates requested and received. Is that possible or it’s a wild idea? Thanks in advance.","awesome 👏. i have a question. can i create a flow using power automate to check my emails for data requests sent to teams, extract, and list them in an excel sheet. the idea is to create a tracker sheet to track requests, dates requested and received. is that possible or it’s a wild idea? thanks in advance.","['awesome', '👏', '.', 'i', 'have', 'a', 'question', '.', 'can', 'i', 'create', 'a', 'flow', 'using', 'power', 'automate', 'to', 'check', 'my', 'emails', 'for', 'data', 'requests', 'sent', 'to', 'teams', ',', 'extract', ',', 'and', 'list', 'them', 'in', 'an', 'excel', 'sheet', '.', 'the', 'idea', 'is', 'to', 'create', 'a', 'tracker', 'sheet', 'to', 'track', 'requests', ',', 'dates', 'requested', 'and', 'received', '.', 'is', 'that', 'possible', 'or', 'it', '’', 's', 'a', 'wild', 'idea', '?', 'thanks', 'in', 'advance', '.']","['awesome', 'i', 'have', 'a', 'question', 'can', 'i', 'create', 'a', 'flow', 'using', 'power', 'automate', 'to', 'check', 'my', 'emails', 'for', 'data', 'requests', 'sent', 'to', 'teams', 'extract', 'and', 'list', 'them', 'in', 'an', 'excel', 'sheet', 'the', 'idea', 'is', 'to', 'create', 'a', 'tracker', 'sheet', 'to', 'track', 'requests', 'dates', 'requested', 'and', 'received', 'is', 'that', 'possible', 'or', 'it', 's', 'a', 'wild', 'idea', 'thanks', 'in', 'advance']","['awesome', 'question', 'create', 'flow', 'using', 'power', 'automate', 'check', 'emails', 'data', 'requests', 'sent', 'teams', 'extract', 'list', 'excel', 'sheet', 'idea', 'create', 'tracker', 'sheet', 'track', 'requests', 'dates', 'requested', 'received', 'possible', 'wild', 'idea', 'thanks', 'advance']","['awesom', 'question', 'creat', 'flow', 'use', 'power', 'autom', 'check', 'email', 'data', 'request', 'sent', 'team', 'extract', 'list', 'excel', 'sheet', 'idea', 'creat', 'tracker', 'sheet', 'track', 'request', 'date', 'request', 'receiv', 'possibl', 'wild', 'idea', 'thank', 'advanc']","['awesome', 'question', 'create', 'flow', 'using', 'power', 'automate', 'check', 'email', 'data', 'request', 'sent', 'team', 'extract', 'list', 'excel', 'sheet', 'idea', 'create', 'tracker', 'sheet', 'track', 'request', 'date', 'requested', 'received', 'possible', 'wild', 'idea', 'thanks', 'advance']","અદ્ભુત 👏. મારો એક પ્રશ્ન છે. શું હું ટીમોને મોકલવામાં આવેલી ડેટા વિનંતીઓ, અર્ક કાઢવા અને એક્સેલ શીટમાં સૂચિબદ્ધ કરવા માટે મારી ઇમેઇલ્સ તપાસવા માટે પાવર ઓટોમેટનો ઉપયોગ કરીને પ્રવાહ બનાવી શકું છું. વિનંતીઓ, વિનંતી કરેલી તારીખો અને પ્રાપ્ત કરવા માટે ટ્રેકર શીટ બનાવવાનો વિચાર છે. શું તે શક્ય છે અથવા તે જંગલી વિચાર છે? અગાઉથી આભાર.","Awesome :clapping_hands:. I have a question. Can I create a flow using power automate to check my emails for data requests sent to teams, extract, and list them in an excel sheet. The idea is to create a tracker sheet to track requests, dates requested and received. Is that possible or it’s a wild idea? Thanks in advance."
can you make videos how to run macros in protected sheets?,can you make videos how to run macros in protected sheets?,"['can', 'you', 'make', 'videos', 'how', 'to', 'run', 'macros', 'in', 'protected', 'sheets', '?']","['can', 'you', 'make', 'videos', 'how', 'to', 'run', 'macros', 'in', 'protected', 'sheets']","['make', 'videos', 'run', 'macros', 'protected', 'sheets']","['make', 'video', 'run', 'macro', 'protect', 'sheet']","['make', 'video', 'run', 'macro', 'protected', 'sheet']",શું તમે સુરક્ષિત શીટ્સમાં મેક્રો કેવી રીતે ચલાવવો તે વિડિઓઝ બનાવી શકો છો?,can you make videos how to run macros in protected sheets?
"Hi Leila, love the show! Thank you for all the wonderful tips.. I&#39;m writing because I,&#39;ve noticed that lately my pivot tables won&#39;t give a row total but it will give me a column total. I&#39;ve try it from scratch, toggling the ON for rows and columns and nothing. I&#39;ve even opened a Microsoft support ticket and nobody can tell me why. Could you help?","hi leila, love the show! thank you for all the wonderful tips.. i&#39;m writing because i,&#39;ve noticed that lately my pivot tables won&#39;t give a row total but it will give me a column total. i&#39;ve try it from scratch, toggling the on for rows and columns and nothing. i&#39;ve even opened a microsoft support ticket and nobody can tell me why. could you help?","['hi', 'leila', ',', 'love', 'the', 'show', '!', 'thank', 'you', 'for', 'all', 'the', 'wonderful', 'tips', '..', 'i', '&', '#', '39', ';', 'm', 'writing', 'because', 'i', ',', '&', '#', '39', ';', 've', 'noticed', 'that', 'lately', 'my', 'pivot', 'tables', 'won', '&', '#', '39', ';', 't', 'give', 'a', 'row', 'total', 'but', 'it', 'will', 'give', 'me', 'a', 'column', 'total', '.', 'i', '&', '#', '39', ';', 've', 'try', 'it', 'from', 'scratch', ',', 'toggling', 'the', 'on', 'for', 'rows', 'and', 'columns', 'and', 'nothing', '.', 'i', '&', '#', '39', ';', 've', 'even', 'opened', 'a', 'microsoft', 'support', 'ticket', 'and', 'nobody', 'can', 'tell', 'me', 'why', '.', 'could', 'you', 'help', '?']","['hi', 'leila', 'love', 'the', 'show', 'thank', 'you', 'for', 'all', 'the', 'wonderful', 'tips', 'i', '39', 'm', 'writing', 'because', 'i', '39', 've', 'noticed', 'that', 'lately', 'my', 'pivot', 'tables', 'won', '39', 't', 'give', 'a', 'row', 'total', 'but', 'it', 'will', 'give', 'me', 'a', 'column', 'total', 'i', '39', 've', 'try', 'it', 'from', 'scratch', 'toggling', 'the', 'on', 'for', 'rows', 'and', 'columns', 'and', 'nothing', 'i', '39', 've', 'even', 'opened', 'a', 'microsoft', 'support', 'ticket', 'and', 'nobody', 'can', 'tell', 'me', 'why', 'could', 'you', 'help']","['hi', 'leila', 'love', 'show', 'thank', 'wonderful', 'tips', '39', 'writing', '39', 'noticed', 'lately', 'pivot', 'tables', '39', 'give', 'row', 'total', 'give', 'column', 'total', '39', 'try', 'scratch', 'toggling', 'rows', 'columns', 'nothing', '39', 'even', 'opened', 'microsoft', 'support', 'ticket', 'nobody', 'tell', 'could', 'help']","['hi', 'leila', 'love', 'show', 'thank', 'wonder', 'tip', '39', 'write', '39', 'notic', 'late', 'pivot', 'tabl', '39', 'give', 'row', 'total', 'give', 'column', 'total', '39', 'tri', 'scratch', 'toggl', 'row', 'column', 'noth', '39', 'even', 'open', 'microsoft', 'support', 'ticket', 'nobodi', 'tell', 'could', 'help']","['hi', 'leila', 'love', 'show', 'thank', 'wonderful', 'tip', '39', 'writing', '39', 'noticed', 'lately', 'pivot', 'table', '39', 'give', 'row', 'total', 'give', 'column', 'total', '39', 'try', 'scratch', 'toggling', 'row', 'column', 'nothing', '39', 'even', 'opened', 'microsoft', 'support', 'ticket', 'nobody', 'tell', 'could', 'help']","હાય લીલા, શોને પ્રેમ કરો! બધી અદ્ભુત ટીપ્સ માટે આભાર.. હું લખી રહ્યો છું કારણ કે મેં નોંધ્યું છે કે તાજેતરમાં મારા પિવોટ કોષ્ટકો એક પંક્તિ કુલ નહીં આપે પરંતુ તે મને એક કૉલમ કુલ આપશે. મેં તેને શરૂઆતથી અજમાવી છે, પંક્તિઓ અને સ્તંભો માટે ચાલુ ટૉગલિંગ કર્યું છે અને કંઈ નથી. મેં માઇક્રોસોફ્ટ સપોર્ટ ટિકિટ પણ ખોલી છે અને કોઈ મને શા માટે કહી શકતું નથી. શું તમે મદદ કરી શકો છો?","Hi Leila, love the show! Thank you for all the wonderful tips.. I&#39;m writing because I,&#39;ve noticed that lately my pivot tables won&#39;t give a row total but it will give me a column total. I&#39;ve try it from scratch, toggling the ON for rows and columns and nothing. I&#39;ve even opened a Microsoft support ticket and nobody can tell me why. Could you help?"
"In my Excel, I can find the Data &gt; Data Types and find country-related information. The step I am stuck in is the part that goes on Insert &gt; Picture &gt; &quot;Place in Cell&quot;, the latter option simply doesn&#39;t exist in my Excel version. Does anyone know what can be the reason and how to activate it? Thanks in advance! :)","in my excel, i can find the data &gt; data types and find country-related information. the step i am stuck in is the part that goes on insert &gt; picture &gt; &quot;place in cell&quot;, the latter option simply doesn&#39;t exist in my excel version. does anyone know what can be the reason and how to activate it? thanks in advance! :)","['in', 'my', 'excel', ',', 'i', 'can', 'find', 'the', 'data', '&', 'gt', ';', 'data', 'types', 'and', 'find', 'country-related', 'information', '.', 'the', 'step', 'i', 'am', 'stuck', 'in', 'is', 'the', 'part', 'that', 'goes', 'on', 'insert', '&', 'gt', ';', 'picture', '&', 'gt', ';', '&', 'quot', ';', 'place', 'in', 'cell', '&', 'quot', ';', ',', 'the', 'latter', 'option', 'simply', 'doesn', '&', '#', '39', ';', 't', 'exist', 'in', 'my', 'excel', 'version', '.', 'does', 'anyone', 'know', 'what', 'can', 'be', 'the', 'reason', 'and', 'how', 'to', 'activate', 'it', '?', 'thanks', 'in', 'advance', '!', ':', ')']","['in', 'my', 'excel', 'i', 'can', 'find', 'the', 'data', 'gt', 'data', 'types', 'and', 'find', 'information', 'the', 'step', 'i', 'am', 'stuck', 'in', 'is', 'the', 'part', 'that', 'goes', 'on', 'insert', 'gt', 'picture', 'gt', 'quot', 'place', 'in', 'cell', 'quot', 'the', 'latter', 'option', 'simply', 'doesn', '39', 't', 'exist', 'in', 'my', 'excel', 'version', 'does', 'anyone', 'know', 'what', 'can', 'be', 'the', 'reason', 'and', 'how', 'to', 'activate', 'it', 'thanks', 'in', 'advance']","['excel', 'find', 'data', 'gt', 'data', 'types', 'find', 'information', 'step', 'stuck', 'part', 'goes', 'insert', 'gt', 'picture', 'gt', 'quot', 'place', 'cell', 'quot', 'latter', 'option', 'simply', '39', 'exist', 'excel', 'version', 'anyone', 'know', 'reason', 'activate', 'thanks', 'advance']","['excel', 'find', 'data', 'gt', 'data', 'type', 'find', 'inform', 'step', 'stuck', 'part', 'goe', 'insert', 'gt', 'pictur', 'gt', 'quot', 'place', 'cell', 'quot', 'latter', 'option', 'simpli', '39', 'exist', 'excel', 'version', 'anyon', 'know', 'reason', 'activ', 'thank', 'advanc']","['excel', 'find', 'data', 'gt', 'data', 'type', 'find', 'information', 'step', 'stuck', 'part', 'go', 'insert', 'gt', 'picture', 'gt', 'quot', 'place', 'cell', 'quot', 'latter', 'option', 'simply', '39', 'exist', 'excel', 'version', 'anyone', 'know', 'reason', 'activate', 'thanks', 'advance']","મારા એક્સેલમાં, હું ડેટા &gt; ડેટા પ્રકારો શોધી શકું છું અને દેશ સંબંધિત માહિતી શોધી શકું છું. હું જે પગલું ભરું છું તે તે ભાગ છે જે શામેલ &gt; ચિત્ર &gt; ""સેલમાં સ્થાન"" પર જાય છે, બાદમાંનો વિકલ્પ ફક્ત મારા એક્સેલ સંસ્કરણમાં અસ્તિત્વમાં નથી. શું કોઈને ખબર છે કે તેનું કારણ શું હોઈ શકે અને તેને કેવી રીતે સક્રિય કરવું? અગાઉથી આભાર! :)","In my Excel, I can find the Data &gt; Data Types and find country-related information. The step I am stuck in is the part that goes on Insert &gt; Picture &gt; &quot;Place in Cell&quot;, the latter option simply doesn&#39;t exist in my Excel version. Does anyone know what can be the reason and how to activate it? Thanks in advance! :)"
"Dear Leila, Thank you for vid. It is amazing. I am office 365 user but I dont have &quot;place in cell&quot; feature in insert /picture tab. I have all updates. What can you suggest me to fix it ? <br>Thanks in advance !","dear leila, thank you for vid. it is amazing. i am office 365 user but i dont have &quot;place in cell&quot; feature in insert /picture tab. i have all updates. what can you suggest me to fix it ? <br>thanks in advance !","['dear', 'leila', ',', 'thank', 'you', 'for', 'vid', '.', 'it', 'is', 'amazing', '.', 'i', 'am', 'office', '365', 'user', 'but', 'i', 'dont', 'have', '&', 'quot', ';', 'place', 'in', 'cell', '&', 'quot', ';', 'feature', 'in', 'insert', '/picture', 'tab', '.', 'i', 'have', 'all', 'updates', '.', 'what', 'can', 'you', 'suggest', 'me', 'to', 'fix', 'it', '?', '<', 'br', '>', 'thanks', 'in', 'advance', '!']","['dear', 'leila', 'thank', 'you', 'for', 'vid', 'it', 'is', 'amazing', 'i', 'am', 'office', '365', 'user', 'but', 'i', 'dont', 'have', 'quot', 'place', 'in', 'cell', 'quot', 'feature', 'in', 'insert', 'tab', 'i', 'have', 'all', 'updates', 'what', 'can', 'you', 'suggest', 'me', 'to', 'fix', 'it', 'br', 'thanks', 'in', 'advance']","['dear', 'leila', 'thank', 'vid', 'amazing', 'office', '365', 'user', 'dont', 'quot', 'place', 'cell', 'quot', 'feature', 'insert', 'tab', 'updates', 'suggest', 'fix', 'br', 'thanks', 'advance']","['dear', 'leila', 'thank', 'vid', 'amaz', 'offic', '365', 'user', 'dont', 'quot', 'place', 'cell', 'quot', 'featur', 'insert', 'tab', 'updat', 'suggest', 'fix', 'br', 'thank', 'advanc']","['dear', 'leila', 'thank', 'vid', 'amazing', 'office', '365', 'user', 'dont', 'quot', 'place', 'cell', 'quot', 'feature', 'insert', 'tab', 'update', 'suggest', 'fix', 'br', 'thanks', 'advance']","પ્રિય લીલા, vid માટે આભાર. તે અદ્ભુત છે. હું ઓફિસ 365 વપરાશકર્તા છું પરંતુ શામેલ /ચિત્ર ટેબમાં મારી પાસે ""સેલમાં સ્થાન"" સુવિધા નથી. મારી પાસે બધા અપડેટ્સ છે. તમે તેને ઠીક કરવા માટે મને શું સૂચવી શકો છો? <br>અગાઉથી આભાર!","Dear Leila, Thank you for vid. It is amazing. I am office 365 user but I dont have &quot;place in cell&quot; feature in insert /picture tab. I have all updates. What can you suggest me to fix it ? <br>Thanks in advance !"
🇮🇳👍❤️,🇮🇳👍❤️,['🇮🇳👍❤️'],[],[],[],[],🇮🇳👍❤️,:India::thumbs_up::red_heart:
Great video!  Excellent!,great video!  excellent!,"['great', 'video', '!', 'excellent', '!']","['great', 'video', 'excellent']","['great', 'video', 'excellent']","['great', 'video', 'excel']","['great', 'video', 'excellent']",મહાન વિડિઓ!  ઉત્તમ!,Great video!  Excellent!
"Limitation if I have multiple columns in value, columns representing could be area or years etc","limitation if i have multiple columns in value, columns representing could be area or years etc","['limitation', 'if', 'i', 'have', 'multiple', 'columns', 'in', 'value', ',', 'columns', 'representing', 'could', 'be', 'area', 'or', 'years', 'etc']","['limitation', 'if', 'i', 'have', 'multiple', 'columns', 'in', 'value', 'columns', 'representing', 'could', 'be', 'area', 'or', 'years', 'etc']","['limitation', 'multiple', 'columns', 'value', 'columns', 'representing', 'could', 'area', 'years', 'etc']","['limit', 'multipl', 'column', 'valu', 'column', 'repres', 'could', 'area', 'year', 'etc']","['limitation', 'multiple', 'column', 'value', 'column', 'representing', 'could', 'area', 'year', 'etc']","મર્યાદા જો મારી પાસે મૂલ્યમાં બહુવિધ કૉલમ હોય, તો કૉલમનું પ્રતિનિધિત્વ ક્ષેત્ર અથવા વર્ષ વગેરે હોઈ શકે છે","Limitation if I have multiple columns in value, columns representing could be area or years etc"
"Your videos are great, but you go to fast to learn from.","your videos are great, but you go to fast to learn from.","['your', 'videos', 'are', 'great', ',', 'but', 'you', 'go', 'to', 'fast', 'to', 'learn', 'from', '.']","['your', 'videos', 'are', 'great', 'but', 'you', 'go', 'to', 'fast', 'to', 'learn', 'from']","['videos', 'great', 'go', 'fast', 'learn']","['video', 'great', 'go', 'fast', 'learn']","['video', 'great', 'go', 'fast', 'learn']","તમારી વિડિઓઝ મહાન છે, પરંતુ તમે તેમાંથી શીખવા માટે ઝડપી જાઓ છો.","Your videos are great, but you go to fast to learn from."
wouwwwwwwwww .... amazing!!,wouwwwwwwwww .... amazing!!,"['wouwwwwwwwww', '....', 'amazing', '!', '!']","['wouwwwwwwwww', 'amazing']","['wouwwwwwwwww', 'amazing']","['wouwwwwwwwww', 'amaz']","['wouwwwwwwwww', 'amazing']",wouwwwwwwwww .... અમેઝિંગ!!,wouwwwwwwwww .... amazing!!
This was brilliant! Kudos for putting in all the efforts. Thanks,this was brilliant! kudos for putting in all the efforts. thanks,"['this', 'was', 'brilliant', '!', 'kudos', 'for', 'putting', 'in', 'all', 'the', 'efforts', '.', 'thanks']","['this', 'was', 'brilliant', 'kudos', 'for', 'putting', 'in', 'all', 'the', 'efforts', 'thanks']","['brilliant', 'kudos', 'putting', 'efforts', 'thanks']","['brilliant', 'kudo', 'put', 'effort', 'thank']","['brilliant', 'kudos', 'putting', 'effort', 'thanks']",આ તેજસ્વી હતું! બધા પ્રયત્નો કરવા બદલ આભાર.,This was brilliant! Kudos for putting in all the efforts. Thanks
👍,👍,['👍'],[],[],[],[],👍,:thumbs_up:
Wow Awesome thanks for updating us for new and updating formulas of Excel,wow awesome thanks for updating us for new and updating formulas of excel,"['wow', 'awesome', 'thanks', 'for', 'updating', 'us', 'for', 'new', 'and', 'updating', 'formulas', 'of', 'excel']","['wow', 'awesome', 'thanks', 'for', 'updating', 'us', 'for', 'new', 'and', 'updating', 'formulas', 'of', 'excel']","['wow', 'awesome', 'thanks', 'updating', 'us', 'new', 'updating', 'formulas', 'excel']","['wow', 'awesom', 'thank', 'updat', 'us', 'new', 'updat', 'formula', 'excel']","['wow', 'awesome', 'thanks', 'updating', 'u', 'new', 'updating', 'formula', 'excel']",એક્સેલના નવા અને અપડેટ સૂત્રો માટે અમને અપડેટ કરવા બદલ વાહ અદ્ભુત આભાર,Wow Awesome thanks for updating us for new and updating formulas of Excel
"Hi, as you top student, surprise me with something, ie laptop","hi, as you top student, surprise me with something, ie laptop","['hi', ',', 'as', 'you', 'top', 'student', ',', 'surprise', 'me', 'with', 'something', ',', 'ie', 'laptop']","['hi', 'as', 'you', 'top', 'student', 'surprise', 'me', 'with', 'something', 'ie', 'laptop']","['hi', 'top', 'student', 'surprise', 'something', 'ie', 'laptop']","['hi', 'top', 'student', 'surpris', 'someth', 'ie', 'laptop']","['hi', 'top', 'student', 'surprise', 'something', 'ie', 'laptop']","નમસ્તે, તમે ટોચના વિદ્યાર્થી તરીકે, મને કંઈક, એટલે કે લેપટોપથી આશ્ચર્યચકિત કરો","Hi, as you top student, surprise me with something, ie laptop"
Leila  .hi . Im a grt fan of yours❤️<br>When using xlookup and data is is different sheets and we need to lock the entire cell when data is in table format . How to lock the ranges! Dollar sign doesnt work.<br>Plz make a video on this subject as there are none ...im sure it will b a grt hit for u👍🙂,leila  .hi . im a grt fan of yours❤️<br>when using xlookup and data is is different sheets and we need to lock the entire cell when data is in table format . how to lock the ranges! dollar sign doesnt work.<br>plz make a video on this subject as there are none ...im sure it will b a grt hit for u👍🙂,"['leila', '.hi', '.', 'im', 'a', 'grt', 'fan', 'of', 'yours❤️', '<', 'br', '>', 'when', 'using', 'xlookup', 'and', 'data', 'is', 'is', 'different', 'sheets', 'and', 'we', 'need', 'to', 'lock', 'the', 'entire', 'cell', 'when', 'data', 'is', 'in', 'table', 'format', '.', 'how', 'to', 'lock', 'the', 'ranges', '!', 'dollar', 'sign', 'doesnt', 'work.', '<', 'br', '>', 'plz', 'make', 'a', 'video', 'on', 'this', 'subject', 'as', 'there', 'are', 'none', '...', 'im', 'sure', 'it', 'will', 'b', 'a', 'grt', 'hit', 'for', 'u👍🙂']","['leila', 'im', 'a', 'grt', 'fan', 'of', 'br', 'when', 'using', 'xlookup', 'and', 'data', 'is', 'is', 'different', 'sheets', 'and', 'we', 'need', 'to', 'lock', 'the', 'entire', 'cell', 'when', 'data', 'is', 'in', 'table', 'format', 'how', 'to', 'lock', 'the', 'ranges', 'dollar', 'sign', 'doesnt', 'br', 'plz', 'make', 'a', 'video', 'on', 'this', 'subject', 'as', 'there', 'are', 'none', 'im', 'sure', 'it', 'will', 'b', 'a', 'grt', 'hit', 'for']","['leila', 'im', 'grt', 'fan', 'br', 'using', 'xlookup', 'data', 'different', 'sheets', 'need', 'lock', 'entire', 'cell', 'data', 'table', 'format', 'lock', 'ranges', 'dollar', 'sign', 'doesnt', 'br', 'plz', 'make', 'video', 'subject', 'none', 'im', 'sure', 'b', 'grt', 'hit']","['leila', 'im', 'grt', 'fan', 'br', 'use', 'xlookup', 'data', 'differ', 'sheet', 'need', 'lock', 'entir', 'cell', 'data', 'tabl', 'format', 'lock', 'rang', 'dollar', 'sign', 'doesnt', 'br', 'plz', 'make', 'video', 'subject', 'none', 'im', 'sure', 'b', 'grt', 'hit']","['leila', 'im', 'grt', 'fan', 'br', 'using', 'xlookup', 'data', 'different', 'sheet', 'need', 'lock', 'entire', 'cell', 'data', 'table', 'format', 'lock', 'range', 'dollar', 'sign', 'doesnt', 'br', 'plz', 'make', 'video', 'subject', 'none', 'im', 'sure', 'b', 'grt', 'hit']",leila .hi. xlookup અને ડેટાનો ઉપયોગ❤️ કરતી વખતે તમારા જીઆરટી ચાહક<br>અલગ શીટ્સ છે અને જ્યારે ડેટા કોષ્ટક ફોર્મેટમાં હોય ત્યારે આપણે સમગ્ર કોષને લૉક કરવાની જરૂર છે. રેન્જ કેવી રીતે લૉક કરવી! ડોલર સાઇન કામ કરતું નથી.<br>plz આ વિષય પર એક વિડિઓ બનાવો કારણ કે ત્યાં કોઈ નથી...મને ખાતરી છે કે તે તમારા માટે જીઆરટી હિટ કરશે👍🙂,Leila  .hi . Im a grt fan of yours:red_heart:<br>When using xlookup and data is is different sheets and we need to lock the entire cell when data is in table format . How to lock the ranges! Dollar sign doesnt work.<br>Plz make a video on this subject as there are none ...im sure it will b a grt hit for u:thumbs_up::slightly_smiling_face:
Amazing as usual.,amazing as usual.,"['amazing', 'as', 'usual', '.']","['amazing', 'as', 'usual']","['amazing', 'usual']","['amaz', 'usual']","['amazing', 'usual']",હંમેશની જેમ અદ્ભુત.,Amazing as usual.
"AOA<br>copy a data from filtered cells, where after filtering few cells are hide. when I paste it in another place. it will only paste first few cells which are in series till the hide cell. <br>for example if I had data in 10 rows. when I apply filter data of 1,2, 3, 6, 8,10 is visible. while 4,5,7 and 8 will be hidden. while I copy the visible cells and try to paste then only 1, 2 and cell 3 data is pasted while all other is not pasted. plz suggest any trick in the excel to resolve this issue.","aoa<br>copy a data from filtered cells, where after filtering few cells are hide. when i paste it in another place. it will only paste first few cells which are in series till the hide cell. <br>for example if i had data in 10 rows. when i apply filter data of 1,2, 3, 6, 8,10 is visible. while 4,5,7 and 8 will be hidden. while i copy the visible cells and try to paste then only 1, 2 and cell 3 data is pasted while all other is not pasted. plz suggest any trick in the excel to resolve this issue.","['aoa', '<', 'br', '>', 'copy', 'a', 'data', 'from', 'filtered', 'cells', ',', 'where', 'after', 'filtering', 'few', 'cells', 'are', 'hide', '.', 'when', 'i', 'paste', 'it', 'in', 'another', 'place', '.', 'it', 'will', 'only', 'paste', 'first', 'few', 'cells', 'which', 'are', 'in', 'series', 'till', 'the', 'hide', 'cell', '.', '<', 'br', '>', 'for', 'example', 'if', 'i', 'had', 'data', 'in', '10', 'rows', '.', 'when', 'i', 'apply', 'filter', 'data', 'of', '1,2', ',', '3', ',', '6', ',', '8,10', 'is', 'visible', '.', 'while', '4,5,7', 'and', '8', 'will', 'be', 'hidden', '.', 'while', 'i', 'copy', 'the', 'visible', 'cells', 'and', 'try', 'to', 'paste', 'then', 'only', '1', ',', '2', 'and', 'cell', '3', 'data', 'is', 'pasted', 'while', 'all', 'other', 'is', 'not', 'pasted', '.', 'plz', 'suggest', 'any', 'trick', 'in', 'the', 'excel', 'to', 'resolve', 'this', 'issue', '.']","['aoa', 'br', 'copy', 'a', 'data', 'from', 'filtered', 'cells', 'where', 'after', 'filtering', 'few', 'cells', 'are', 'hide', 'when', 'i', 'paste', 'it', 'in', 'another', 'place', 'it', 'will', 'only', 'paste', 'first', 'few', 'cells', 'which', 'are', 'in', 'series', 'till', 'the', 'hide', 'cell', 'br', 'for', 'example', 'if', 'i', 'had', 'data', 'in', '10', 'rows', 'when', 'i', 'apply', 'filter', 'data', 'of', '3', '6', 'is', 'visible', 'while', 'and', '8', 'will', 'be', 'hidden', 'while', 'i', 'copy', 'the', 'visible', 'cells', 'and', 'try', 'to', 'paste', 'then', 'only', '1', '2', 'and', 'cell', '3', 'data', 'is', 'pasted', 'while', 'all', 'other', 'is', 'not', 'pasted', 'plz', 'suggest', 'any', 'trick', 'in', 'the', 'excel', 'to', 'resolve', 'this', 'issue']","['aoa', 'br', 'copy', 'data', 'filtered', 'cells', 'filtering', 'cells', 'hide', 'paste', 'another', 'place', 'paste', 'first', 'cells', 'series', 'till', 'hide', 'cell', 'br', 'example', 'data', '10', 'rows', 'apply', 'filter', 'data', '3', '6', 'visible', '8', 'hidden', 'copy', 'visible', 'cells', 'try', 'paste', '1', '2', 'cell', '3', 'data', 'pasted', 'pasted', 'plz', 'suggest', 'trick', 'excel', 'resolve', 'issue']","['aoa', 'br', 'copi', 'data', 'filter', 'cell', 'filter', 'cell', 'hide', 'past', 'anoth', 'place', 'past', 'first', 'cell', 'seri', 'till', 'hide', 'cell', 'br', 'exampl', 'data', '10', 'row', 'appli', 'filter', 'data', '3', '6', 'visibl', '8', 'hidden', 'copi', 'visibl', 'cell', 'tri', 'past', '1', '2', 'cell', '3', 'data', 'past', 'past', 'plz', 'suggest', 'trick', 'excel', 'resolv', 'issu']","['aoa', 'br', 'copy', 'data', 'filtered', 'cell', 'filtering', 'cell', 'hide', 'paste', 'another', 'place', 'paste', 'first', 'cell', 'series', 'till', 'hide', 'cell', 'br', 'example', 'data', '10', 'row', 'apply', 'filter', 'data', '3', '6', 'visible', '8', 'hidden', 'copy', 'visible', 'cell', 'try', 'paste', '1', '2', 'cell', '3', 'data', 'pasted', 'pasted', 'plz', 'suggest', 'trick', 'excel', 'resolve', 'issue']","aoa ફિલ્ટર કરેલા કોષોમાંથી ડેટાની નકલ કરે છે, જ્યાં ફિલ્ટર કર્યા પછી થોડા કોષો છુપાયેલા હોય છે. જ્યારે હું તેને બીજી જગ્યાએ પેસ્ટ કરું છું. તે ફક્ત પ્રથમ થોડા કોશિકાઓ પેસ્ટ કરશે જે છુપાયેલા કોષ સુધી શ્રેણીમાં <br>હોય છે. ઉદાહરણ તરીકે જો મારી પાસે 10 પંક્તિઓમાં ડેટા હોય. જ્યારે હું 1,2, 3, 6, 8,10 નો ફિલ્ટર ડેટા લાગુ કરું છું. જ્યારે 4,5,7 અને 8 છુપાયેલા હશે. જ્યારે હું દૃશ્યમાન કોશિકાઓની નકલ કરું છું અને પેસ્ટ કરવાનો પ્રયાસ કરું છું ત્યારે ફક્ત 1, 2 અને કોષ 3 ડેટા પેસ્ટ કરવામાં આવે છે જ્યારે અન્ય બધા પેસ્ટ કરવામાં આવતા નથી. plz આ સમસ્યાને ઉકેલવા માટે એક્સેલમાં કોઈપણ યુક્તિ સૂચવે છે.<br>","AOA<br>copy a data from filtered cells, where after filtering few cells are hide. when I paste it in another place. it will only paste first few cells which are in series till the hide cell. <br>for example if I had data in 10 rows. when I apply filter data of 1,2, 3, 6, 8,10 is visible. while 4,5,7 and 8 will be hidden. while I copy the visible cells and try to paste then only 1, 2 and cell 3 data is pasted while all other is not pasted. plz suggest any trick in the excel to resolve this issue."
She’s not hard to look at.,she’s not hard to look at.,"['she', '’', 's', 'not', 'hard', 'to', 'look', 'at', '.']","['she', 's', 'not', 'hard', 'to', 'look', 'at']","['hard', 'look']","['hard', 'look']","['hard', 'look']",તેને જોવું મુશ્કેલ નથી.,She’s not hard to look at.
Cool,cool,['cool'],['cool'],['cool'],['cool'],['cool'],ઠંડુ,Cool
💕 Love it!,💕 love it!,"['💕', 'love', 'it', '!']","['love', 'it']",['love'],['love'],['love'],તેને 💕 પ્રેમ કરો!,:two_hearts: Love it!
